WT1_H3K4me3	WT2_H3K4me3	WT1_H3K27me3	WT2_H3K27me3	K4	K27	cluster	dis
Cdkn3	5.6057	5.6727	1.1852	1.6466	5.6392	1.4159	1	0.5366
Cnot6	6.1756	6.0923	1.3785	1.5296	6.1339	1.454	1	0.5366
Ykt6	6.2162	6.1596	1.7587	1.9264	6.1879	1.8426	1	0.5367
Stk17b	6.0306	6.0486	1.3785	1.3857	6.0396	1.3821	1	0.5369
1700123M08Rik	6.1139	6.1751	1.3785	1.5748	6.1445	1.4767	1	0.5371
Clip1	6.2795	6.0509	1.8266	1.903	6.1652	1.8648	1	0.5371
Tanc2	6.0038	5.9933	2.0817	1.903	5.9985	1.9924	1	0.5371
Gnpnat1	5.4701	5.5112	1.5331	1.5893	5.4906	1.5612	1	0.5371
Aldh18a1	6.2731	6.1114	1.5331	1.6041	6.1923	1.5686	1	0.5373
Denr	5.8904	5.8392	1.3606	1.2992	5.8648	1.3299	1	0.5375
Utp11	5.8728	5.8913	1.9415	2.1897	5.882	2.0656	1	0.5376
Amz2	5.4532	5.5156	1.6875	1.9264	5.4844	1.8069	1	0.5377
Rabep2	5.5196	5.4843	1.4319	1.6041	5.502	1.518	1	0.5377
C2cd2l	6.1203	5.8603	2.0133	2.0268	5.9903	2.02	1	0.5379
Ccdc8	5.9867	5.8043	2.1257	1.891	5.8955	2.0083	1	0.5382
Btbd1	6.255	6.139	1.7727	1.688	6.197	1.7303	1	0.5383
Gm43797	6.2763	6.0463	1.8659	1.8432	6.1613	1.8545	1	0.5384
Dtwd1	5.5453	5.7079	1.2054	1.688	5.6266	1.4467	1	0.5384
Emc7	6.0806	6.0494	1.2654	1.5145	6.065	1.39	1	0.5385
Gm16066	6.1359	5.966	1.2054	1.6041	6.051	1.4047	1	0.5386
Fbxw5	6.2255	6.1447	1.4494	1.9264	6.1851	1.6879	1	0.5386
Gm17344	5.6984	5.5667	1.1641	1.7933	5.6325	1.4787	1	0.5386
Gm11464	6.2531	6.1695	1.5494	1.8671	6.2113	1.7083	1	0.5387
AC175538.1	6.2782	6.0004	1.5494	1.4834	6.1393	1.5164	1	0.5388
Maml2	6.1009	5.9845	1.9661	2.0587	6.0427	2.0124	1	0.539
Prrt2	5.9013	5.4855	2.025	1.903	5.6934	1.964	1	0.5391
Rlf	6.2583	6.1019	1.8135	1.891	6.1801	1.8523	1	0.5392
Spop	5.7537	5.7137	2.0707	2.0158	5.7337	2.0433	1	0.5394
Gm11205	6.2148	6.2186	1.6581	1.8184	6.2167	1.7383	1	0.5399
Rnf34	6.0966	6.0146	1.4668	1.3522	6.0556	1.4095	1	0.54
Rabif	6.1913	6.2314	1.517	1.7677	6.2113	1.6423	1	0.5401
Trim44	5.7098	5.6119	1.9042	2.1506	5.6608	2.0274	1	0.5403
Hdac1	5.8523	5.7741	1.0772	1.715	5.8132	1.3961	1	0.5407
Ddx27	6.1742	5.925	1.342	1.4356	6.0496	1.3888	1	0.5408
Gm24000	5.781	5.6139	1.1641	1.5597	5.6975	1.3619	1	0.5408
Arpc1b	6.1597	5.9652	1.9169	1.4678	6.0625	1.6923	1	0.541
Vamp4	6.255	6.1765	1.6126	1.8671	6.2158	1.7398	1	0.541
Ovca2	5.5421	5.509	1.9169	1.8307	5.5256	1.8738	1	0.541
Gm38670	6.1645	6.209	1.4668	1.6182	6.1868	1.5425	1	0.5411
Arhgef1	6.1597	5.9489	2.025	1.9146	6.0543	1.9698	1	0.5411
Mtx2	6.1031	6.1041	1.5969	2.1603	6.1036	1.8786	1	0.5412
Gpcpd1	5.6548	5.5973	1.4147	1.369	5.626	1.3919	1	0.5412
Ilvbl	6.1728	6.2213	1.4668	1.8671	6.1971	1.6669	1	0.5413
Zfp251	6.2433	6.1267	1.7307	1.5748	6.185	1.6528	1	0.5414
Tti2	5.7701	5.5538	2.0367	1.9716	5.662	2.0041	1	0.5414
Moap1	5.7954	5.7593	1.1641	1.4834	5.7773	1.3238	1	0.5417
Cpox	6.1534	6.1939	1.6875	1.5296	6.1737	1.6085	1	0.5418
Fam118b	6.1645	6.1347	1.3785	1.5597	6.1496	1.4691	1	0.5419
Gm23547	5.7286	5.3801	1.4147	1.545	5.5543	1.4798	1	0.542
Gm44995	6.1444	6.0885	1.4494	1.4356	6.1164	1.4425	1	0.5421
Gm27253	5.4723	5.4933	1.4494	1.6745	5.4828	1.5619	1	0.5424
Zfp280d	5.4723	5.4933	1.4494	1.6745	5.4828	1.5619	1	0.5424
Trafd1	5.5643	5.4786	1.8532	1.9605	5.5215	1.9069	1	0.5432
Gm12999	6.1906	6.2124	1.517	1.6323	6.2015	1.5746	1	0.5432
Mocs1	5.7324	5.6015	1.2259	1.4834	5.6669	1.3546	1	0.5433
C8g	6.2505	6.1758	1.5494	1.8793	6.2131	1.7144	1	0.5434
Erg28	6.131	6.1702	1.4668	1.4988	6.1506	1.4828	1	0.5436
B230112G18Rik	6.2275	6.0363	1.4319	1.4834	6.1319	1.4576	1	0.5438
Rnf40	6.0524	5.904	1.1641	1.545	5.9782	1.3546	1	0.5438
Ptov1	6.3054	6.1267	1.6581	1.715	6.2161	1.6866	1	0.5439
Rexo4	6.0169	5.9217	1.1217	1.6323	5.9693	1.377	1	0.5439
Mrps26	6.2248	6.1932	1.4834	1.8432	6.209	1.6633	1	0.5441
Gatd1	6.1203	5.9789	1.2654	1.4834	6.0496	1.3744	1	0.5441
Ero1l	6.2034	6.1953	1.6581	1.5893	6.1994	1.6237	1	0.5444
Vgll4	6.1811	6.0371	1.3785	1.4678	6.1091	1.4232	1	0.5446
Nudt2	6.0313	6.0945	1.3606	1.419	6.0629	1.3898	1	0.5449
E2f4	6.2979	6.0524	1.7999	1.9146	6.1752	1.8572	1	0.545
Ccdc86	6.2801	5.9636	1.3967	1.5296	6.1219	1.4631	1	0.5453
Mir17hg	5.5893	5.4384	1.8789	1.8793	5.5138	1.8791	1	0.5454
B4galt7	5.6762	5.6004	1.2259	1.5145	5.6383	1.3702	1	0.5454
Chmp2a	6.2737	6.1361	1.6126	1.9377	6.2049	1.7752	1	0.5455
Itpripl1	5.5706	5.3933	1.7999	1.7286	5.482	1.7642	1	0.5461
4930563E22Rik	6.2108	6.2104	1.745	1.715	6.2106	1.73	1	0.5463
Eme1	5.6626	5.8759	1.342	1.3522	5.7692	1.3471	1	0.5463
Gm44264	5.4521	5.5397	1.8135	1.8793	5.4959	1.8464	1	0.5466
Pkmyt1	5.5357	5.4523	1.4668	1.5748	5.494	1.5208	1	0.5468
Atl3	6.1189	5.9965	1.2259	1.545	6.0577	1.3854	1	0.5468
Rpn1	6.2321	6.1786	1.7163	1.9146	6.2054	1.8154	1	0.5468
Ncoa3	6.2589	6.1723	1.5331	1.8671	6.2156	1.7001	1	0.5469
Api5	6.1002	5.9555	1.2259	1.4988	6.0278	1.3623	1	0.5471
Tbc1d2b	6.2928	6.0744	1.4834	1.5893	6.1836	1.5363	1	0.5472
1700064H15Rik	6.1203	6.2732	1.7163	1.6745	6.1968	1.6954	1	0.5472
Sclt1	5.5228	5.4855	1.5969	1.4988	5.5041	1.5478	1	0.5476
Tpx2	5.5643	5.4911	1.3967	1.5296	5.5277	1.4631	1	0.5477
Rps19bp1	5.5411	5.4477	1.4834	1.5597	5.4944	1.5216	1	0.548
3110040N11Rik	5.7918	5.9258	1.2054	1.4356	5.8588	1.3205	1	0.548
Gm45016	5.7918	5.9258	1.2054	1.4356	5.8588	1.3205	1	0.548
Hmox2	6.1611	6.1347	1.5331	1.4515	6.1479	1.4923	1	0.5482
Tfb1m	5.5862	5.5858	1.3045	1.4988	5.586	1.4016	1	0.5482
4930473A02Rik	6.2248	6.1932	1.4668	1.8432	6.209	1.655	1	0.5483
Tfip11	6.2202	6.2083	1.6429	1.903	6.2143	1.773	1	0.5484
Pak4	5.6782	5.4535	1.6581	1.4027	5.5658	1.5304	1	0.5484
Siva1	6.1735	6.2226	1.6875	1.949	6.1981	1.8182	1	0.5484
Tmem120a	5.6811	5.5549	2.0479	1.6604	5.618	1.8541	1	0.5486
Uap1	6.1408	6.1617	1.3045	1.688	6.1513	1.4962	1	0.5486
Iqgap1	6.0643	6.0448	1.8266	1.369	6.0545	1.5978	1	0.5492
Arsk	5.9984	6.1114	1.1852	1.6745	6.0549	1.4298	1	0.5494
Cdk5rap1	5.5851	5.6046	1.3045	1.4834	5.5949	1.3939	1	0.5494
AC163637.2	5.9574	5.9241	1.1217	1.5748	5.9408	1.3483	1	0.5495
Gm25789	5.8719	5.763	1.0772	1.6604	5.8175	1.3688	1	0.5496
Elob	5.821	5.7433	2.0133	2.1405	5.7822	2.0769	1	0.5496
Dhodh	5.5453	5.7147	1.3231	1.4515	5.63	1.3873	1	0.5496
Diaph3	5.5496	5.4718	1.3231	1.7286	5.5107	1.5258	1	0.5497
Dag1	6.1017	5.9845	1.1641	1.6466	6.0431	1.4054	1	0.5497
4930516B21Rik	5.58	5.5635	1.3785	1.4515	5.5717	1.415	1	0.5498
Snora61	6.1974	6.1695	1.3606	1.7416	6.1834	1.5511	1	0.55
Rab1b	5.9276	5.6953	1.1217	1.5597	5.8114	1.3407	1	0.5501
Mir5619	6.1366	6.1897	1.3231	1.7286	6.1632	1.5258	1	0.5505
Cby1	6.1139	6.1019	1.2259	1.688	6.1079	1.4569	1	0.5505
Cnot11	6.0291	5.9885	2.025	2.0479	6.0088	2.0365	1	0.5506
Nr1d2	6.0973	6.1639	1.7163	2.1104	6.1306	1.9133	1	0.5508
Atp6v1f	5.469	5.499	1.4147	1.688	5.484	1.5513	1	0.5509
Kif2c	5.46	5.5123	1.3967	1.7933	5.4862	1.595	1	0.551
Ndufa10	6.1708	6.1589	1.7727	2.0268	6.1648	1.8998	1	0.551
Gm29477	5.7277	5.6894	1.2054	1.4515	5.7086	1.3285	1	0.5512
Ccng1	5.7546	5.6273	1.3045	1.369	5.691	1.3368	1	0.5513
Slc44a2	5.5903	5.4278	1.3606	1.903	5.5091	1.6318	1	0.5513
Vasn	5.6478	5.6253	1.9042	1.4027	5.6366	1.6535	1	0.5513
Dus3l	6.0893	6.1932	1.3045	1.6604	6.1413	1.4824	1	0.5519
Gm14455	6.0412	5.9266	1.4668	1.2815	5.9839	1.3742	1	0.5525
Ankrd54	6.098	6.0059	1.1641	1.6604	6.052	1.4123	1	0.5526
Bod1l	6.1153	5.9066	1.342	1.369	6.0109	1.3555	1	0.5528
Rtfdc1	6.0412	5.9283	1.4668	1.2815	5.9847	1.3742	1	0.5529
Mon2	5.58	5.363	1.6727	1.9146	5.4715	1.7936	1	0.5531
Fam91a1	6.0007	5.776	1.0772	1.7416	5.8883	1.4094	1	0.5534
Papola	6.0643	6.0138	1.3606	1.369	6.0391	1.3648	1	0.5535
Wdr33	6.2068	6.1092	1.3606	1.5748	6.158	1.4677	1	0.5538
Mrps18c	5.9112	5.7195	1.0996	1.5893	5.8153	1.3445	1	0.5539
Helq	5.912	5.7195	1.0996	1.5893	5.8157	1.3445	1	0.5539
Prkaa1	5.854	5.763	1.1641	1.4515	5.8085	1.3078	1	0.5541
Dsel	5.6067	5.5879	1.4147	1.3857	5.5973	1.4002	1	0.5541
Zfp60	5.7145	5.748	1.5811	1.2449	5.7313	1.413	1	0.5542
Slc25a22	5.5975	5.4396	1.7307	1.4834	5.5185	1.6071	1	0.5542
Plrg1	5.6645	5.7214	1.2851	1.3857	5.693	1.3354	1	0.5544
Spns1	6.194	6.1772	1.84	1.6466	6.1856	1.7433	1	0.5551
Lss	5.5174	5.4696	1.3606	1.7018	5.4935	1.5312	1	0.5551
Zfp950	5.4667	5.4956	1.5656	1.5597	5.4811	1.5627	1	0.5552
B3gat3	5.7333	5.6304	1.1852	1.4988	5.6818	1.342	1	0.5554
Spopl	5.5033	5.4546	1.8266	1.8307	5.479	1.8286	1	0.5555
Slc35b2	6.2576	6.1238	1.5969	1.5296	6.1907	1.5633	1	0.5555
Btbd7	6.2148	6.1596	1.6126	1.5145	6.1872	1.5635	1	0.5555
Opn3	6.0717	5.9506	2.0133	2.069	6.0111	2.0411	1	0.5556
Ccdc189	6.0502	5.9066	1.1852	1.4834	5.9784	1.3343	1	0.5556
Aldh16a1	5.6791	5.8603	1.0996	1.7018	5.7697	1.4007	1	0.5558
AC122525.2	5.5882	5.4267	1.3606	1.9146	5.5075	1.6376	1	0.556
Gm13977	5.581	5.7658	1.3967	1.3522	5.6734	1.3745	1	0.5563
Mir150	6.3029	6.1318	1.4834	1.7416	6.2173	1.6125	1	0.5563
Lims1	5.6429	5.5646	1.9042	2.1104	5.6037	2.0073	1	0.5567
Naa25	6.2095	5.9773	1.2851	1.5296	6.0934	1.4073	1	0.5567
Mettl13	5.5357	5.52	1.2851	1.688	5.5279	1.4865	1	0.5568
Ctbp1	6.2288	6.2186	1.6727	1.6745	6.2237	1.6736	1	0.5569
Zfp82	5.8043	5.8972	1.2461	1.369	5.8508	1.3076	1	0.5569
Chtop	6.1756	6.1063	1.6727	1.419	6.1409	1.5458	1	0.557
Nap1l1	5.5336	5.3933	1.6875	1.6323	5.4635	1.6599	1	0.557
Leng1	5.7041	5.6416	1.1427	1.5893	5.6728	1.366	1	0.5572
2810006K23Rik	6.1182	6.2752	1.5656	1.6041	6.1967	1.5848	1	0.5574
Gm17018	5.5282	5.5289	1.3606	1.545	5.5285	1.4528	1	0.5574
Gm43172	5.8795	5.7508	2.0367	2.1306	5.8152	2.0836	1	0.5575
Gm43808	6.2413	6.107	1.6429	1.4834	6.1742	1.5631	1	0.5577
Letm2	5.7136	5.8007	1.4494	1.263	5.7571	1.3562	1	0.5577
Ndufs8	6.1824	6.2673	1.5656	1.7545	6.2249	1.66	1	0.5579
D3Ertd751e	5.5228	5.4843	1.5656	1.4834	5.5036	1.5245	1	0.558
Pih1d1	5.6753	5.8585	1.1217	1.6041	5.7669	1.3629	1	0.558
Fbxw8	5.5389	5.3861	1.5494	1.6323	5.4625	1.5908	1	0.558
Anxa7	6.0161	5.9965	1.1427	1.5893	6.0063	1.366	1	0.5585
Rfwd2	5.9686	6.0154	1.2054	1.4678	5.992	1.3366	1	0.5586
Zfp963	5.4464	5.7806	1.2654	1.6745	5.6135	1.4699	1	0.5587
Diexf	5.7127	5.6786	1.2654	1.3857	5.6956	1.3256	1	0.5588
Armc1	5.9227	5.8463	1.1217	1.5145	5.8845	1.3181	1	0.559
CT030142.1	6.0457	5.9448	1.4147	1.2992	5.9953	1.357	1	0.559
Commd7	5.5368	5.4267	1.4834	1.5748	5.4817	1.5291	1	0.559
Snora44	6.1987	6.1695	1.342	1.7545	6.1841	1.5482	1	0.5591
Poll	5.5325	5.5332	1.3606	1.5296	5.5329	1.4451	1	0.5591
Gm7654	5.7472	5.8088	1.342	1.2992	5.778	1.3206	1	0.5593
Rpl23a	6.198	6.1382	1.3231	1.6604	6.1681	1.4917	1	0.5597
9030624J02Rik	5.5675	5.4933	1.4668	2.0898	5.5304	1.7783	1	0.5597
Gm27539	6.2308	6.207	1.5003	1.8793	6.2189	1.6898	1	0.5598
Ogg1	5.6772	5.7414	1.2461	1.4027	5.7093	1.3244	1	0.5599
Mzt2	6.2654	6.1695	1.4494	1.7677	6.2174	1.6085	1	0.5599
Gm44238	6.1742	6.0706	1.4147	1.4356	6.1224	1.4252	1	0.5603
1700028E10Rik	5.435	5.4752	1.5331	1.688	5.4551	1.6105	1	0.5605
Gzf1	6.2341	6.1625	1.3785	1.8057	6.1983	1.5921	1	0.5605
Abhd17c	6.1659	6.0044	1.8266	2.1506	6.0851	1.9886	1	0.5606
Arl6	5.4246	5.5244	1.7727	1.6745	5.4745	1.7236	1	0.5607
Acot2	5.6389	5.7621	1.9294	2.1702	5.7005	2.0498	1	0.5607
Prdm15	6.1486	6.1418	1.4319	1.4678	6.1452	1.4498	1	0.5608
Kptn	5.4361	5.5397	1.6581	1.545	5.4879	1.6015	1	0.5608
Mesd	5.8753	5.9693	1.0772	1.7416	5.9223	1.4094	1	0.5612
Ambra1	5.5421	5.4018	1.4494	1.6466	5.472	1.548	1	0.5616
Trim32	5.4967	5.5678	1.9538	1.8184	5.5322	1.8861	1	0.5618
Cep290	5.9357	5.9506	1.0772	1.715	5.9431	1.3961	1	0.5618
Man2b1	6.1756	6.0417	1.3785	1.4356	6.1086	1.4071	1	0.5622
4930597O21Rik	6.2102	6.1639	1.7862	1.9829	6.187	1.8846	1	0.5624
Prdm2	5.8854	5.8568	2.0817	2.0796	5.8711	2.0807	1	0.5625
Fnip1	6.0472	6.0463	1.1852	1.5597	6.0467	1.3725	1	0.5628
Cep135	5.5293	5.3945	1.745	1.6604	5.4619	1.7027	1	0.563
Mir5615-2	6.2281	6.207	1.745	1.6604	6.2176	1.7027	1	0.563
Fam83d	6.2511	6.1617	1.8135	1.688	6.2064	1.7507	1	0.5631
Thoc5	5.6319	5.5635	1.3606	1.4027	5.5977	1.3817	1	0.5631
Zfp61	5.6955	5.4752	1.2054	1.6745	5.5854	1.4399	1	0.5631
Slc35b1	5.7389	5.6914	1.1852	1.4515	5.7151	1.3184	1	0.5632
Rpl24	6.2328	6.0819	1.3045	1.6466	6.1573	1.4756	1	0.5633
Supt3	5.5368	5.4546	1.5331	1.4988	5.4957	1.5159	1	0.5633
Gm45845	5.79	5.9266	1.1427	1.4988	5.8583	1.3208	1	0.5634
Thyn1	5.9566	5.9563	1.0772	1.7933	5.9565	1.4353	1	0.5636
Cox10	6.0146	6.0885	1.2054	1.545	6.0516	1.3752	1	0.5639
Mir7071	5.7573	5.8214	1.1641	1.4515	5.7894	1.3078	1	0.5639
Scyl3	6.196	6.1667	1.4834	1.5145	6.1814	1.4989	1	0.5639
Gm38394	5.8685	5.7348	1.0552	1.8057	5.8016	1.4305	1	0.564
Lmbr1l	6.1555	6.2226	1.3785	1.6745	6.1891	1.5265	1	0.5641
Zfp473	5.5559	5.4407	1.4319	1.545	5.4983	1.4884	1	0.5642
Gm24842	5.4945	5.3933	1.6276	1.7018	5.4439	1.6647	1	0.5642
Tbk1	6.0494	6.0856	1.2259	1.5296	6.0675	1.3777	1	0.5643
Phykpl	6.1721	6.1987	1.8532	1.903	6.1854	1.8781	1	0.5643
Dnajc24	5.3657	5.5678	1.6581	1.8307	5.4667	1.7444	1	0.5643
Gatad2b	6.0547	5.9941	1.2054	1.4834	6.0244	1.3444	1	0.5644
Lmntd2	5.6597	5.7338	2.0817	1.9939	5.6967	2.0378	1	0.5644
Snord99	6.194	6.1674	1.3231	1.7933	6.1807	1.5582	1	0.5646
Zfp939	5.4475	5.4673	1.6126	1.6182	5.4574	1.6154	1	0.5646
Sfxn1	5.4418	5.4615	1.7022	1.688	5.4517	1.6951	1	0.5647
Galt	6.1618	6.1625	1.7307	2.0796	6.1621	1.9052	1	0.5648
E4f1	5.8333	5.8348	1.0552	1.7018	5.834	1.3785	1	0.5648
Ccar1	6.2122	6.0661	1.3231	1.545	6.1391	1.434	1	0.5649
Mrps28	5.6636	5.8016	1.1852	1.4678	5.7326	1.3265	1	0.5651
Ubl7	5.4543	5.4361	1.7022	1.7803	5.4452	1.7413	1	0.5653
Pmf1	6.0915	6.1974	1.342	1.5597	6.1444	1.4509	1	0.5654
Virma	5.9112	5.869	1.1427	1.4678	5.8901	1.3053	1	0.5654
Acbd6	6.0419	6.0356	1.3967	1.3346	6.0387	1.3656	1	0.5655
Diaph1	5.8368	5.7414	1.1427	1.4678	5.7891	1.3053	1	0.5655
Tmtc3	5.9349	5.953	1.0772	1.688	5.944	1.3826	1	0.5657
CT009550.1	5.7629	5.9457	2.0929	2.0158	5.8543	2.0543	1	0.5659
Usp46	6.2295	6.1974	1.7999	1.7018	6.2134	1.7508	1	0.5659
Dcdc5	5.3621	5.5678	1.5969	1.715	5.4649	1.656	1	0.5659
9330162012Rik	5.6097	5.5741	1.9778	2.0268	5.5919	2.0023	1	0.566
Prosc	6.1541	6.0915	1.2851	1.545	6.1228	1.415	1	0.566
Sde2	6.1953	6.2165	1.3967	1.7416	6.2059	1.5691	1	0.5662
Gm44767	5.7864	5.6242	1.342	1.3173	5.7053	1.3296	1	0.5668
Gm43077	5.7174	5.4696	1.9661	2.0158	5.5935	1.9909	1	0.5668
Preb	6.098	6.0676	2.0594	1.715	6.0828	1.8872	1	0.5668
Pop4	5.7855	5.6242	1.342	1.3173	5.7049	1.3296	1	0.5669
Cit	5.7665	5.5942	1.342	1.3346	5.6803	1.3383	1	0.567
Slf2	6.1852	6.1939	1.8266	1.6041	6.1895	1.7153	1	0.5672
Gm42907	6.2531	5.8904	1.4319	1.4027	6.0717	1.4173	1	0.5674
Smim12	5.9851	5.9861	2.025	2.1003	5.9856	2.0627	1	0.5675
Ttc37	6.0014	6.1136	1.1641	1.6745	6.0575	1.4193	1	0.5678
Telo2	5.8193	5.7291	2.0817	2.0796	5.7742	2.0807	1	0.5679
Rad51ap1	6.0449	6.0539	1.3785	1.3522	6.0494	1.3654	1	0.568
Zdhhc20	6.0509	5.9489	1.3967	1.2992	5.9999	1.348	1	0.5683
Gng12	6.2095	6.1596	1.8135	1.9829	6.1846	1.8982	1	0.5684
Vrk3	5.5559	5.443	1.4147	1.545	5.4995	1.4798	1	0.5685
Anln	6.2061	6.1814	1.3606	1.688	6.1938	1.5243	1	0.5685
Rcbtb1	6.1345	6.1603	1.3231	1.5597	6.1474	1.4414	1	0.5688
Gpr19	6.1437	6.2462	1.3967	1.6745	6.1949	1.5356	1	0.5688
Fkbp7	5.6636	5.4581	1.2461	1.6182	5.5608	1.4322	1	0.5689
Nyap1	5.5664	5.5332	2.0018	1.8432	5.5498	1.9225	1	0.569
Focad	5.7426	5.7079	1.2461	1.369	5.7253	1.3076	1	0.5691
Nrep	6.1067	6.0239	1.9415	2.1104	6.0653	2.0259	1	0.5695
Mtmr6	5.4142	5.5079	1.5331	1.6323	5.461	1.5827	1	0.5698
Gm45244	5.525	5.3605	1.6581	1.8307	5.4428	1.7444	1	0.5699
Ndufa4	6.2122	6.2328	1.5969	1.9377	6.2225	1.7673	1	0.5701
1810012K16Rik	5.5954	5.5484	1.8532	1.419	5.5719	1.6361	1	0.5702
Hlcs	5.9178	6.1224	2.025	2.005	6.0201	2.015	1	0.5703
Mios	5.5872	5.6727	1.3606	1.369	5.6299	1.3648	1	0.5703
Btbd10	6.2075	6.2482	1.6429	1.903	6.2278	1.773	1	0.5706
Tmem109	5.9325	5.7348	1.1217	1.4988	5.8336	1.3102	1	0.5706
Stat1	5.9276	5.7962	2.1365	1.9939	5.8619	2.0652	1	0.5709
Fxr1	5.7221	5.4684	1.9661	2.0268	5.5953	1.9964	1	0.571
Cops4	5.947	5.8827	2.1683	1.8552	5.9149	2.0118	1	0.5711
Srrt	6.2699	6.149	1.8266	1.8432	6.2094	1.8349	1	0.5711
Gm15853	6.0532	6.0247	1.2654	1.419	6.0389	1.3422	1	0.5712
1700086P04Rik	6.313	6.1568	1.5656	1.688	6.2349	1.6268	1	0.5715
Gpatch3	6.2361	6.0744	1.2654	1.8057	6.1552	1.5356	1	0.5716
Mroh1	5.5379	5.4267	1.84	1.6323	5.4823	1.7361	1	0.5716
Gm23222	6.1289	5.925	1.3785	1.3346	6.0269	1.3565	1	0.5717
Tmem70	5.8419	5.8853	1.1852	1.4027	5.8636	1.294	1	0.5718
Mtch2	6.1479	6.2468	1.8135	1.903	6.1973	1.8583	1	0.5718
AC154141.1	5.8778	5.9709	1.0772	1.6604	5.9243	1.3688	1	0.5719
Mttp	6.1153	6.2541	1.3785	1.6604	6.1847	1.5194	1	0.572
Trmt10a	6.1153	6.2541	1.3785	1.6604	6.1847	1.5194	1	0.572
Mydgf	6.1618	6.1667	1.5969	1.4356	6.1642	1.5163	1	0.572
Pcyt1a	6.1224	6.2226	1.8659	1.6041	6.1725	1.735	1	0.5724
Snord104	6.1872	6.2574	1.5003	1.6604	6.2223	1.5803	1	0.5726
Rad51b	6.2142	6.2501	1.6875	1.8671	6.2322	1.7773	1	0.573
Gm16759	6.1576	6.1129	1.2851	1.5597	6.1353	1.4224	1	0.5731
Gm28037	6.2361	6.0833	1.3045	1.6182	6.1597	1.4614	1	0.5731
3830406C13Rik	5.5934	5.5889	2.0594	1.7018	5.5912	1.8806	1	0.5732
Pi4kb	6.0275	5.9749	1.1852	1.4678	6.0012	1.3265	1	0.5732
Capn10	6.1933	6.2368	1.8135	1.7545	6.2151	1.784	1	0.5733
Rab2a	5.9804	5.8568	1.342	1.2815	5.9186	1.3118	1	0.5733
Gm26708	6.1507	6.0012	1.8918	2.1405	6.0759	2.0161	1	0.5734
Cebpz	6.1548	6.198	1.7587	1.4988	6.1764	1.6287	1	0.5736
Ndufaf7	6.1548	6.198	1.7587	1.4988	6.1764	1.6287	1	0.5736
Ndufaf6	5.4142	5.4843	1.6276	1.6466	5.4493	1.6371	1	0.5737
Gm10549	6.0688	6.0036	2.0018	2.0898	6.0362	2.0458	1	0.5738
Txlna	5.866	5.6933	1.0552	1.7018	5.7796	1.3785	1	0.5742
Ttll5	6.1267	6.1709	1.4147	1.4678	6.1488	1.4412	1	0.5742
Psip1	5.5944	5.5635	1.2461	1.5296	5.5789	1.3878	1	0.5744
Mir6902	5.6026	5.5635	1.342	1.419	5.5831	1.3805	1	0.5745
Gm43592	5.5727	5.443	1.8918	1.949	5.5079	1.9204	1	0.5748
Cdk10	6.1831	6.207	1.3606	1.6745	6.195	1.5176	1	0.575
Bak1	5.5293	5.3813	1.5494	1.6041	5.4553	1.5767	1	0.575
Mrpl4	5.7801	5.776	1.5656	1.2073	5.778	1.3864	1	0.575
Nr2c2	6.1331	6.0555	1.2851	1.4678	6.0943	1.3765	1	0.575
Ece2	6.2589	6.2022	1.6429	1.9264	6.2305	1.7847	1	0.5753
Ipo8	5.8184	5.8454	1.1641	1.419	5.8319	1.2916	1	0.5753
2610017A05Rik	5.8184	5.8454	1.1641	1.419	5.8319	1.2916	1	0.5753
Pgs1	5.7837	5.6108	1.9899	2.1506	5.6973	2.0702	1	0.5753
Gm25835	5.5872	5.5581	1.1852	1.7018	5.5727	1.4435	1	0.5755
Gipc1	6.2255	6.1987	1.6429	1.545	6.2121	1.594	1	0.5755
Inip	5.959	5.8698	1.4668	1.2259	5.9144	1.3463	1	0.5758
Trim37	5.9725	5.881	1.0772	1.6041	5.9268	1.3407	1	0.5758
Ptpn23	6.2466	6.2131	1.7587	1.7018	6.2298	1.7303	1	0.5759
Sik3	6.2679	6.1361	1.8532	1.8671	6.202	1.8602	1	0.5761
Mrps9	5.4967	5.443	1.4147	1.6323	5.4699	1.5235	1	0.5762
Arpc3	5.5432	5.4615	1.4668	1.4834	5.5024	1.4751	1	0.5762
Ugdh	6.1804	6.0833	1.9538	1.9829	6.1319	1.9684	1	0.5762
Rbm8a	5.7079	5.6756	1.1427	1.5145	5.6918	1.3286	1	0.5762
Fam173a	6.2393	6.1946	1.4147	1.688	6.217	1.5513	1	0.5764
Spink10	6.0614	6.0059	1.4319	1.2992	6.0337	1.3656	1	0.5764
Gm22711	6.1886	6.2568	1.4834	1.6604	6.2227	1.5719	1	0.5765
Mxd1	5.6528	5.4661	1.2054	1.7286	5.5595	1.467	1	0.5766
Rere	6.257	6.1339	1.5656	1.4988	6.1955	1.5322	1	0.5766
Dhrs1	6.1074	5.9933	1.1852	1.5296	6.0504	1.3574	1	0.5768
Nop9	6.1074	5.9933	1.1852	1.5296	6.0504	1.3574	1	0.5768
Naa20	5.7183	5.6098	1.3967	1.2992	5.6641	1.348	1	0.577
Fbxo38	6.0591	6.0099	1.4319	1.2992	6.0345	1.3656	1	0.577
Senp5	6.2102	6.1048	1.4494	1.4515	6.1575	1.4505	1	0.5771
Tmbim1	6.1038	5.9266	1.342	1.3346	6.0152	1.3383	1	0.5775
